,number,Text processed
97,他然後那個怪就是他說很醜又很無聊的那個人現在是台大會計的,
98,然後不這還不是重點那個人你知道對愛付出有多大嗎,
99,每一次鄭普林跟他朋友在搭曉明女中校車的時候不是,
100,人都一直聊天嗎,
101,只要那個人走過來全部女生都說eheheh那個人來了那個人來了,
102,人都散開了然後留他一個人然後旁邊的人一直笑一直笑一直笑,
103,後來鄭普林他妹知道這件事因為他妹是國中部的他還跟國一跟,
104,二的人全部講所以全,
105,全國一國二全都知道然後就說eh你知道那個誰誰喜歡鄭普林嗎hohoho然後,
106,狂笑然後這樣那個男的都沒有畏縮就一直持續地邀他,
107,什麼打撞球啊什麼什麼一堆的,
108,好恐怖喔,
109,沒有不恐怖啊那男的就為愛痴狂欸,
110,所以才恐怖啊癡狂不夠恐怖喔,
111,他沒有痴他痴他他他表現聽起來完全合乎份界他都沒有踰,
112,那些他不是怪人,
113,可他只是長得醜,
114,然後鄭普林就討厭他而且你知道鄭普林為什麼要接近他嗎不是為什麼要,
115,接近他.,
116,不是接近他為什麼要讓他跟他聊天嗎因為這個男的在中一中,
117,跟鄭普林小學喜歡的男生同班所以鄭普林只是透過那個男的去問,
118,男的說eh那個男的現在怎麼樣現在怎麼樣,
119,好可憐喔,
120,so  mean ,
121,然後還一直罵他無聊可是可是重點一再強調這個人不壞就是他持,
122,他持續都有搭理這個人然後,
123,他好矛盾喔喔現在頭腦有點,
124,對啊他就是很賤啊,
125,有啦,
126,然後超好笑的然後鄭普林他爸不是很兇嗎,
127,嗯,
128,然後他就說我爸真的很兇可是這件事情他很,
129,嘲笑你知道他怎樣嗎只要每一次什麼怎樣他爸就是說eh那個,
130,嘞eh那個男的嘞,
131,然後還有一次那個男的寫一封信喔他就先打聽說鄭普林有什麼,
132,然後大家都說鄭普林嗯好像英文很好吧然後結果鄭普,
133,英文好那件事就被那個男的知道嘛然後之後那個男的寫一封英文信給他,
134,好感人喔,
135,沒有超怪的,
136,很怪吧,
137,這件事才怪吧,
138,為對啊,
139,你有毛病喔,
140,哪有為什麼他可以,
141,他搭另外一個,
142,他長得醜你說他怪然後他自己寫英文信,
143,我哪有說他怪啊你亂講,
144,然後然後他在那封信你知道還放什麼放了幾張那個新光三越,
145,禮卷,
146,好好喔,
147,你看很賤欸,
148,很怪欸,
149,然後後來他爸媽去新光三越買球鞋還問他說eh那個男的禮卷你還在,
150,然後那個那個什麼那個uh然後他後來說什麼,
151,喔對然後後來有一天鄭普林就跟另外一個人反正他有,
152,個朋友好像是有留級過一年然後好像有一點有一點憂鬱症什麼之類,
153,嗯反正那是那個人的背景不重要可是那個人長得很正然後有一天他跟鄭普,
154,在聊天brabrabrabra他就說eh我認識那個人啊可是那個他那個朋友,
155,說eh我也認識耶他是不是在煩你然後鄭普林說喔,
156,沒有沒有沒有然後他就講沒有的時候那女的說好交給我我,
157,我來我來解決這件事情我來 handle 這件事情,
158,的還假的啊,
159,真的然後好像過了一天還是過了一個周末不曉得那個女的跟那個男的,
160,了什麼之後那個男的一樣走一公里去新光三越可是都距離他,
161,公尺這樣,
162,真的還假的,
163,好可憐喔,
164,真的完全不知道很好奇欸到底講了什麼,
165,對啊他到底講了什麼,
166,沒,
167,他沒有問那個女的喔,
168,沒有人知道這是這故事的一個最大的疑問然後之後一個月,
169,都這樣喔然後之後那個男的就再也沒有去新光三越了,
170,好恐怖喔是不是被殺了,
171,沒有他後來考上台大會計,
172,喔對ho,
173,對然後我剛剛,
174,我臉書有查到他他有在辦ISAC的東西,
175,我要看他長什麼樣子,
176,ha好感人喔那他現在還愛著他嗎,
177,我不知道啊,
178,就沒了喔就是因為那個女的,
179,好像那個那個女的叫什麼啊就是這這個男的叫張家偉,
180,ha,
181,你們知道張家偉是誰嗎藍哥那個,
182,我知道,
183,知道喔他叫什麼傑的,
184,應該xx,
185,張正傑好像不是欸我忘了我忘記他名字了,
186,你們之後還可以再去跟鄭普林求證這件故事很好笑,
187,好恐怖喔,
188,可是這一切原因是因為那個男的很醜很無聊啊然後又有一點自大,
189,ha真的喔,
190,他就一直說他這個人很聰明他一直說他自己跟鄭普林這樣講,
191,可是他很可憐他就是不知道要講什麼他只好炫耀自己的優點,
192,對啊然後就因為一個人很無聊所以他的努力就可以付諸白費,
193,可是無聊真的很慘,
194,可是他每天走一公里耶,
195,可是他很無聊欸,
196,喔喔對然後之後鄭普林還會跟他爸 sai  sai  nai ,
197,他說爸我今天不想去那個什麼走路去搭校車可不可以載,
198,然後他爸就說eh那個誰不是每天走一公里,
199,爸就一直酸就一直講,
200,超好笑的,
201,他爸很兇喔,
202,他爸很兇嗎,
203,嗯eh他爸很兇喔,
204,他爸很兇他媽也很兇都是他在講啊,
205,對他說他,
206,我不知道其實我覺得搞不好他爸他們都很正常因為好像那個,
207,人到鄭普林的生活之後就變妖魔化,
208,他也說他妹超兇的啊,
209,他說他妹每天都在罵他跟他媽,
210,好奇怪的家庭,
211,好恐怖喔,
212,沒有真的啊,
213,你不是說,
214,然後還有什麼那個後來曾偉霆跟鄭普林聊到那個之前在,
215,不是法服但是是法服有個怪人你知道嗎,
216,喔那個那個,
217,嗯他有他有理過你嗎,
218,是不是,
219,ha,
220,有啊就是那個,
221,你又你又沒有遇到他過,
222,我有看有啊他有來上課過,
223,喔,
224,對對超恐怖超恐怖的,
225,喔,
226,然後那個什麼,
227,他長得真的很怪這不是,
228,然後曾偉庭一直說他,
229,開玩笑的,
230,他很恐怖什麼的喔對對超恐怖的他之前在總圖,
231,遇到了一個法律系的學長然後就會跟他聊天然後大家就說ha,
232,是 bisexual 然後他說喔不是不是不是,
233,什什麼意思,
234,等一下,
235,為什麼因為他不是每次都找那個女的嗎,
236,嗯,
237,他不是每次都找女的聊天嗎,
238,然後有一次他在總圖找一個男的也是法律系的然後大,
239,那時候那個鄭普林就說他是雙性戀,
240,啊對啊才感染這個話題,
241,然後曾偉霆就說沒有沒有沒有他後來就跟我講接下來的,
242,很恐怖他就說eh喔喔我認識很多法律系的女生啊,
243,覺得他們都很好騙啊,
244,ha,
245,騙人真的真的真的曾偉霆講的然後他說很好騙喔,
246,他一開始不是講這個他一開始先講說eh我有一個法律的問題想問,
247,耶等一下他是他是現在他講的話是對那個學長還是對曾偉霆,
248,對學長對學長對學長,
249,然後是學長跟曾偉霆講的喔,
250,應該是,
251,是哪個學長啊,
252,我不知道,
253,好你繼續,
254,然後他就跟曾偉霆講說喔不不不他跟那個學長講說,
255,我有一個法律問題然後內容就說他跟他女朋友分手了然後他看,
256,那女朋友把他之前送他的東西全部借花獻佛給其他男生然後他超不爽的他,
257,侵入他那邊宿舍然後把那些東西搶回來然後他就問那個,
258,好恐怖喔,
259,學長說我這樣有犯法嗎,
260,廢話,
261,然後學長說廢話,
262,廢話,
263,然後後來,
264,好恐怖,
265,他就接著說喔其實我有問這問題我有問過很多人那個法律系的女生,
266,他們都很好騙反正我只是缺炮幹,
267,啊好恐怖喔,
268,超恐怖所以以後因為以後在那個教室遇到他的話可以,
269,兇他我覺得完全到達那個可以直接兇他的地步了,
270,好恐怖喔,
271,對啊,
272,而且他真的長得還蠻醜的,
273,那女的為什麼那女朋友有怎樣嗎,
274,ha,
275,女朋友有做什麼嗎,
276,沒有啊那女的好像,
277,那女的原本不知道,
278,對啊我覺得這可以,
279,可是他們不在可是可是被侵擾的人很多啊,
280,對啊,
281,他也他也被侵擾過啊,
282,沒有啊他沒有來侵擾我,
283,他沒有遇到他過啊,
284,ha你沒有,
285,好幸運對吧,
286,都沒有來理過我,
287,那你下次直接在他面前在那邊晃來晃去,
288,拿六法書在那晃來晃去,
289,eh他也是侵擾蕭逸玲那個人對不對,
290,親咬,
291,侵擾,
292,對啊對,
293,對對對,
294,是法服遇到他都會被他侵騷擾,
295,好恐怖而且因為而且因為蕭逸玲每次都會就是那個男的跟他說hi蕭逸玲,
296,好像都會有回應就因為蕭逸玲人很好嗎就他就跟每個女生的開頭就是,
297,我認識蕭逸玲喔,
298,所以我不是怪人,
299,對,
300,所以下次你只要被人家開頭你就說我覺得蕭逸玲超,
301,喔就是你,
302,我覺得蕭逸玲超怪的,
303,好壞喔,
304,蕭逸蕭逸玲超怪的,
305,好賤喔.,
306,你直接跟他這樣講就好,
307,對啊所以覺得現在現在可能埋伏在那個鄭普林跟蕭逸玲,
308,.你真的要罵他喔,
309,我決定這樣子埋伏,
310,然後有奇怪的人一找他們講話然後我就eh,
311,eh什麼,
312,eh幹嘛你 kao  pei ,
313,完全沒用可是他長得很噁,
314,你有看過了吧,
315,我沒看過,
316,我覺得就長得就,
317,很噁啊真的很噁,
318,獐頭鼠目,
319,我只有從網路上看過,
320,對對真的,
321,絕非善類,
322,真的,
323,社會算了,
324,罵太多了,
325,我覺得這件事情很瞎,
326,好恐怖,
327,你什麼時候看到他的他又沒有來我們這一組,
328,不是啦他是,
329,沒有喔你會不會聽這個人不是昨天那一我們法理學的人,
330,他之前有來,
331,沒有我是說法服啊,
332,不是他不是法服的就來了他是在,
333,他法服好像也有去欸,
334,eh我的意思是說他也有來上課,
335,對對對對,
336,喔上課的時候就隨便找人上課找人,
337,對對對,
338,好恐怖喔,
339,超恐怖的,
340,好恐怖喔,
341,eh鄭普林就是大概我看到他,
342,我可以偷喝那個水嗎我超渴的,
343,可以啊那他的,
344,什麼那個地板上的水[:指水瓶],
345,這個老虎牙子,
346,你們有嗎,
347,有啊,
348,超渴的,
349,為什麼,
350,鄭普林有十個話題有九個都是他被怪人搭訕,
351,對啊,
352,嗯,
353,超恐怖的,
354,怪人是,
355,我不是說有一次在活大麵包店就是有一個人看到他就看他看很,
356,然後就走去跟他說學同學你要早點睡,
357,eh我有遇到這個人過欸,
358,你有遇到這個人過,
359,這個人這個人超常見我遇過他見面有三次真的,
360,他一直叫你早點睡,
361,我在南京東路遇過他我在台北車站遇過他,
362,他是他是台大的嗎,
363,我好像在我好像好像在古亭也看過他,
364,他台大的嗎,
365,沒有他是他是一個中年人啊他是他是一個成年人但不是學生,
366,好恐怖喔,
367,那他有叫你早點起來,
368,有啊他好像很會看相吧他就,
369,eh我有像我覺得他蠻準的欸因為,
370,真的真的他就說你最近氣色很差你應該很晚睡因為你,
371,什麼什麼就身體機能不太好我我好像前兩個禮拜,
372,過他就說了這個事,
373,為什麼他要找你,
374,就路上隨便講的,
375,他是,
376,他說你最近很晚睡喔,
377,好恐怖喔,
378,我說嗯對怎麼辦,
379,好恐,
380,早點睡,
381,可是後來有一次我精神很好他就跟我講他說eh反正他,
382,跟我說你還不錯就這樣,
383,真的喔,
384,他只是看有個人可以,
385,覺得覺得他不是壞人啦,
386,他只是看他想不想睡覺隨便亂講,
387,對啊他不是壞人,
388,他不是壞人但他是怪人吧,
389,他是吧,
390,對他這個人講話很無聊啦沒有啦,
391,那一類的都被分為一類,
392,好可憐喔你知道鄭普林還有說他如果只要他去找一個很無不,
393,要跟誰講話的人他都會看一本書,
394,什麼意思你就說他如果去找一個人然後那個人完全不知道該講什麼他就會帶一本書去,
395,他會看金氏世界紀錄,
396,為什麼,
397,他,
398,因為才可以跟人家聊話,
399,可以開啟話題,
400,他說你看,
401,他覺得,
402,這是全世界最大的 pizza ,
403,好無聊喔這話題要怎麼接續啊,
404,沒有啊他說,
405,有有,
406,eh你看全世界最大的蛇欸,
407,沒有他說可以接這個你看你看,
408,嗯,
409,eh你手機也是用 iphone 喔,
410,太無聊了吧,
411,無聊,
412,可憐的,
413,這樣太無聊了eh講了 pizza 我看了我看了第五集了,
414,哦好看欸,
415,你看了嗎,
416,第第五集,
417,It's  a  pizza ,
418, 去youtube ,
419,喔有有有有我看了,
420,Chicago tomato ha我覺得我一開始不是遇到那個媽媽我覺得超煩的,
421,快了吧,
422,我覺得很煩.,
423,很好笑我覺得很好笑啊而且我我我又重看第四集第五集一起看就很好笑,
424,可是你不覺得 Lily 長得變得很老嗎,
425,真的,
426,他這邊超多皺紋的欸,
427,嗯我覺得 Robin 變老比較多,
428,有嗎我覺得我覺得這一季的比較明顯嗯,
429,Barney 也是 Barney 也變老了,
430,Barney  跟Robin 都 Lily 本來就一直老態啊,
431,我覺得他變漂亮了他就是持續變持續是在漂亮的階段我覺得,
432,是嗎,
433,他第一季超醜的,
434,喔對對,
435,他去找那個,
436,他越來越漂亮了,
437,對對他有越來越漂亮,
438,怪怪怪精靈的那個,
439,什麼怪精靈,
440,不是喔,
441,他第一季頭髮很醜,
442,對啊他現在就蠻漂亮的啊,
443,很漂亮可是就長得很老因為很多皺紋啊他這樣的時候就這是這樣,
444,haTed 保養得最好,
445,真的,
446, Marshall 變超肥,
447, Marshall 還禿頭欸,
448,真的喔,
449,他們在拍他過去的時候有一段他們在暗室那邊的時候他有一個頭髮這樣,
450,然後這邊頭禿了喔暗室超好笑的,
451,什麼暗室是什麼,
452,note 喔Thank  you ,
453, So  you're  wedding  present ,
454,喔,
455, Thank  you ,
456,而且那集一拉開就是後面就是那個人 Slutty ,
457,對對啊對啊對啊,
458,他第一次出來對不對還是他以前有出來過以前的集他有出來過嗎,
459,以前的集,
460,沒有吧有沒他他有跟Ted在一起過喔,
461,有ha有啊裡面,
462,有啊,
463,你沒看,
464,喔對我突然想不起來我記得好像有過但想不起來,
465,有就是那個啊,
466,其實那個過很久之後他有遇到,
467,湯姆克魯斯的老婆不是嗎,
468,喔是喔,
469,對啊,
470,還蠻高還蠻漂亮,
471,eh可是那所以這一季的那個是演湯姆克魯斯的老婆那個人嗎,
472,Sh是啊一樣的人啊,
473,一樣的人啊一樣,
474,就slutty,
475,就只拍了一個鏡頭而已,
476,是剛好是在萬聖節,
477,喔我那時候想說他是不是第一次出來不過我想說他好像跟,
478,過他有在一起就是那個很 awkward 的那個啊就他們交往的,
479,就不管怎麼樣就很怪那一個然後那個女生就跟他說那女生還唱一首,
480,啊什麼 chicken  chicken 什麼你記得嗎,
481,對對對,
482,我記得他那集的大意是不是說什麼uh還是不要見面比較好,
483,原本的想像比較,
484,對之類的,
485,就是你都以為那個人是完美的,
486,結果他們在一起才發現很很怪,
487,喔,
488,很不合,
489,可是那集超好笑的,
490,可是我ha你覺得他很漂亮喔我不喜歡他長得樣子,
491,誰你說 pumpkin 喔,
492,對,
493,蠻漂亮的吧,
494,我不喜歡,
495,是喔只看到那一幕,
496,反正他都他都解開那個湯姆克魯斯的束縛,
497,什麼叫解開他的束縛,
498,他跟他離婚了,
499,因為山他信山達基造成的,
500,對啊他只是,
501,ha,
502,他可以有宗教的自由吧,
503,是因為,
504,他只是不准他分別的宗教而已啊還好吧,
505,真的喔,
506,你不知道喔對啊這是他們他們他們那個教派感覺是一個不能,
507,ha好恐怖喔,
508,女生不能發出聲音對好像是好像是.,
509,所以他是因為這樣跟他離婚,
510,我不知道他是湯姆克魯斯看起來就超超超怪又超壞的,
511,看起來就很怪啊,
512,他也沒有很怪吧,
513,有啊他不准他老婆分別宗教欸,
514,他那個那個那個教那個教叫什麼,
515,山達基啊,
516,對,
517,eh還是摩門還是他是摩門教徒,
518,不是摩門哪有那麼壞,
519,所以他是山達基教,
520,沒有如果摩門他兩邊就整個都是鬍子了,
521,所以他是山達基教,
522,你知不知道他們摩門在幹嘛啊,
523,那你知道嗎,
524,我知道啊,
525,在幹嘛,
526,對啊,
527,摩門就只是一個很好的教教派啊,
528,等一下穿著白色然後在路上一直騎腳踏車然後叫你信教那是哪一個教,
529,我不知道,
530,那是摩門教嗎,
531,啊,
532,有可能有可能,
533,對啊有可能,
534,他是山達基啦他山達基教的,
535,喔對啦對啦他,
536,山達基是什麼,
537,很多名人在信.,
538,就很多名人,
539,為什麼名人要信山達基,
540,我不知道搞不好有人是頭,
541,很多名人也信,
542,有些的吧就像台灣人信不一樣,
543,好恐怖喔那他還有什麼奇怪的教,
544,不知道沒有,
545,我上次才知道有一個教教是不能接觸高科技用品,
546,那不是一個教那不是一個教,
547,那不是一個教,
548,你是說美國有一個鎮對不對,
549,對那不是那不是一個教,
550,他們是自己要求沒有就是那一個鎮的人全部都覺得這樣過生活最好,
551,嗯嗯嗯,
552,對對對,
553,是你們有遇到的是不是,
554,有有嗎,
555,eh那是誰遇到的,
556,那那算那算是一個觀光景點,
557,eh我們有遇到啊,
558,就是遇到一群人他們穿得很那個那種那那個,
559,很像五零年代的人,
560,那個中就是那種很久以前那種畫或者是拾,
561,拓荒者喔,
562,拾穗裡面的人那種穿著的人啊,
563,喔在哪裡,
564,有啊,
565,在哪,
566,在那個是JFK還是,
567,可是他為什麼可以坐飛機,
568,嗯可能是有事情出來吧就好像不知道是誰跟我說那個,
569,人就是過著原始的生活啊,
570,喔喔這麼講好像,
571,對啊,
572,好像是 Matthew 講的,
573,喔對對對,
574,對對對,
575,對對應該是,
576,好像我記得是鄭普林跟我講說你們之間有一個人有,
577,就是去美國的時候有遇到過,
578,hun沒有啦反正那反正那個鎮就是你可以在那邊生活到,
579,十歲之後可以自己決定要留在那生活還是要去外面變正常人,
580,真的喔,
581,對啊他們不是強制要變那樣可是那個人就就,
582,馬車啊然後油燈啊,
583,很酷耶他們打扮都是一個模型,
584,不用對然後吃東西就是醃醃漬食物那類然後就要嘛很新鮮,
585,醃漬然後沒有用冰箱也沒有用電,
586,在在西部嗎,
587,好像在中我不知道應該在中部,
588,好恐怖喔,
589,eh啊最近都沒有跟那些人那個啊最近是比較少一點喔因為現在大家也各忙各的反正我就做我的,
590,搞我自己的東西,
591,可是走掉的也很多啊,
592,um像喔有啦 Mark 我最近比較常跟他聯絡蔡萬紅,
593,馬克蔡喔,
594,他自己現在自己在做交易所以我們還蠻多互相交流的,
595,我知道他從自營部離開呀,
596,他現在在那個什麼忠孝敦化的路口有一個太平洋證券它裡面弄了個,
597,操盤室他在裡面弄因為好像那一家分公司的經理跟他是好朋友,
598,還在唷,
599,um,
600,太平洋證券還在對還在全台灣有幾個點,
601,um,
602,我是不知道他們是靠什麼做反正那一間那個點還在然後 Mark 還在裡面操盤,
603,所以最近我們常常在那邊跟他聊所以下.,
604,接下來下個禮拜可能找他跟宜癢呀什麼吃個飯反正既然都在操盤大家聊一聊交流交流,
605,樓育純這件事嗎?,
606,um,
607,小樓,
608,有見過一兩次不太熟,
609,um大概黃雯嘉比較熟吧,
610,um,
611,那時候我當小特助的時候他是董事,
612,他後來是不是在澳門當,
613,um對,
614,公務員司法司法警察他老婆的問題還沒解決很麻煩,
615,他老婆是原本就有那樣的狀況然後後來才展現出來還是說後來才得,
616,後來更嚴重聽說原.,
617,本來就 siau1siaul ,
618,幾年前我跟嘉嘉跟宜癢跑去澳門玩,
619,喔,
620,有跟他們一起吃飯可是那時候他老婆看起來很正常,
621,那次以後啦,
622,是喔可是我上次見到她應該是零九年喔,
623,um,
624,那時候她還蠻正常的沒想到後來就變那個樣子,
625,um他跟我講說他把他丟就是落跑來台灣,
626,是喔那怎麼辦,
627,沒有啊就他司法警察也不能跑啊總不能跑走大概帶得回來台灣,
628,回台灣啊比較慘的地方就是說小朋友那時候在美國生的啊拿美國護照,
629,他回來台灣他在美國護照又過期他沒辦法辦台灣護照,
630,這很誇張耶怎麼,
631,他媽媽扣住他的美國護照不讓他動就沒辦法 renew 啊小孩子,
632,父親手上,
633,還有這種事喔,
634,um,
635,那人反正既然在台灣不.,
636,也不能辦身分,
637,對,
638,好奇怪喔為什麼,
639,他還有一次逾期居留,
640,怎麼那麼詭異,
641,不是呀了不起耶,
642,怎麼搞成這樣,
643,然後他老婆好像把他們家中間回去一趟澳門把家裡的黃金全部幫,
644,光然後然後最近靠靠賣黃金過日子,
645,這真他媽的了不起喔,
646,因為那時候他加我在 Facebook 上加我這個人是誰結果點,
647,靠我想說他那個憂鬱症蠻嚴重的他完全都在自問自答自言自語對呀我就把他.,
648,我後來把他 block 起來,
649,對呀我也是,
650,然後我還舉報他我還很難過的真的我舉報他之後我老婆跟我,
651,說你幹嘛舉報他他看不到了,
652,你要看那個你就點進去他那邊就看得到啦,
653,um,
654,你要點進去他的那一個 area 還是看得見他寫的所有東西呀,
655,是喔我把他 block 起來還舉報他,
656, block 起來他就不會出現在你那邊可是你從朋友那裡面去搜尋他還在你的,
657,裡面是喔,
658,對除非你把他解除朋友關係,
659,我好像把他 delete 掉了,
660,那你可能就沒了因為呢我是把他 block 住那我點進去還是,
661,那我看他其實看得出蠻嚴重的他那個其實需要看醫生他好像現在現在都是寫信給那個叫什麼名字徐為倫,
662,他會每個人發啦他沒有發給我因為他不知道我是誰,
663,他只是把我加他可能看出我是,
664,他可能他可能這些人的朋友他可能會會發到黃雯嘉那邊去吧不過黃雯嘉應該不會理他,
665,沒有啊完全沒任何反應啊因為我也看一下的那個,
666,他好像也都沒什麼他應該也是把他 block 的動作,
667,um對呀,
668,那我有進去看他寫那個我就覺得說他那個思緒整個都亂掉了他那,
669,其實真得就是有嚴重被害妄想,
670,他不管他那個ho不管吃藥跟心 pro 看都要做這是,
671,這個是蠻麻煩的事但是最怕的就是他我看他他好像不承認,
672,對呀,
673,我看到他有好他朋友在裡面寫說eh他是不是變了或者說他是不是生病,
674,是不是需要去看醫生他也都沒回應他一定是自己簡單來說他有這樣的狀況,
675,當然沒有幾個人覺得說自己有神經病,
676,其實這是有預見就是 depression 嘛就看一看應該還好啊,
677,對不對也是啦因為前幾天他才來找我吃飯小樓回來台灣蛤那我覺得他他這樣子他壓力應該很大耶他有他離了嗎,
678,他說在 file  divorce 啊,
679,唉,
680,他說他從澳門 file  divorce 在台灣 file 保護令,
681,分居的時間夠夠久好像滿兩年他就他就可以離婚了,
682,很辛苦,
683,所以他必須 kin 住兩年,
684,然後聽那個我上次聽我忘記誰講的女方家人認為說他們女兒沒有問題是真的被女他老公家暴靠那問題就不是這樣子嘛你任何頭腦清楚,
685,人看到他的言行就知道他有問題啊對呀 so 小樓跟我講說他只是幫個魚換個水因為有的時候不,
686,那個水用用用那個水管要用嘴巴吸嗎就是把那個水吸出來吸出一個,
687,就真空嘛然後再利用那個真空的原理把那個水倒出來那他,
688,他看到小樓那樣子說小樓吸毒小樓就最好魚缸那個是,
689,喔我覺得他其實這樣他很可憐如果ho他沒有他其實可以強制,
690,吧靠,
691,如果他[-eng]heylookbrotheresafinelinebetween強制就醫and家暴,
692,所以要是我,
693,他強制就醫的話他 parents 可以幫他強制就醫我們不行,
694,為什麼我們做老公的不行,
695,可以吧,
696,uh除非對我們造成生活上的損害應該可以呀他那個影響這麼大其實我記得可以家屬你只要打電話跟醫院講,
697,像是台大榮總或是北醫都可以他們會查他就可以派人來然後必要時,
698,可以跟他講說你要警察一起來然後就把他,
699,把他綁起來把他用輕微的輕不要說輕微的綁一下帶走他其實就這樣用膠帶捆起來對但是問題是重點是如果他現在不知道他老婆在哪裡,
700,對呀,
701,那就很麻煩,
702,可是他跟我講說他老婆現在好像在搞一些他們家的那個這,
703,給他之前給他兒子的那一些黃金大概加起來有半斤左右八兩喔八兩喔,
704,這真的是蠻扯的,
705,然後到賣到只剩下一副,
706,然後說這個都他到台北請人家吃飯都很闊氣的請 W ,
707,喔tsu他整個思緒跟shi頭腦整個都亂了,
708,um想說你老婆在高雄哪裡呀他說我不知道好像都不跟他,
709,然後就說他都傳一些很奇怪的簡訊給他還給我看然後他就說看到就真的,
710,覺得很.,
711,很詭異還 actually 說我李錩裕啊幹嘛的跟他當好朋友呀,
712,他就寫一些很奇怪的東西呀一看就知道是有點問題不是很有點,
713,是有很大的問題的,
714,應該叫我老婆去看一下看看有沒有辦法 link  it  to ,
715,個把他加起來當朋友,
716,我還有你要看他的東西我都看得到只是我把他,
717,但是我只要點進去還是看得到我覺得很好笑,
718,後來我好像是把他 delete 掉,
719,um,
720, Maybe  its  why 因為我覺得這種人沒事的,
721,沒事在那邊寫一些怪裡怪氣的東西他寫很多我就是自從把他加進來然後我就馬上把他 block 住,
722,就不見了,
723,喔,
724,但是其實你要看都還是看得到啦很好笑唉這個現代人的毛病也是很多耶,
725,蛤那個尤其是很嚴重啊小樓也講說他也沒有說他說覺得說如果說他,
726,在家裡太無聊他就去去工作嘛賺多賺少那是一回事阿,
727,um,
728,然後去工作有點事情做那他又不要,
729,那像我想一下我最後我因為我跟他不熟是李宜癢跟嘉嘉認識他,
730,零九年那時候我們剛好在去在他在內湖有一段時間了因為我那時候剛進寶來的那時候他,
731,那時候我寫 Moodys 信評他寫他寫中華信評所以信評這個,
732,我們算是有交+/.,
733,喔喔喔集那我在猜他後來應該就零九年我碰到他的時候他看起來應該已經有那樣的,
734,只是那時候不嚴重還是說因為朋友來然後因為那一天他也沒講什麼話,
735,喔我們也感受我們也感覺不出來大概大概就是趕快他媽的吃完跑了,
736,對那一天我們也感覺不出來他有什麼特殊的異樣說真的,
